"author_id","conversation_id","created_at","id","relevancy","sentiment","text"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","no",,"Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","no",,"Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","no",,"Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
"1068714708146900992","1477036609711132676","2021-12-31T21:59:04.000Z","1477036609711132676","neutral","neutral","Good morning on the 1st day of 2022 Bring it on I am ready ğŸ‘ğŸ‘ğŸŒğŸŒğŸ‰ğŸ‰ https://t.co/Q1SiJPLC1w"
"724552290590294016","1480426365430030338","2022-01-10T06:28:45.000Z","1480426365430030338","yes","pro","NEDEN DAHA BÄ°TMEDÄ°  Novak Djokovic- Avustralya'da kalmasÄ±na ve pasaportunun kendisine iade edilmesine izin verilecek. Derhal gÃ¶Ã§men gÃ¶zaltÄ±ndan serbest bÄ±rakÄ±lmasÄ± istendi. TÃ¼m detaylar ve geliÅŸmeler.  #federalCourt #Tennis #AusOpen  https://t.co/ezp5GCel9B"
"46292189","1477046515000496130","2021-12-31T22:38:26.000Z","1477046515000496130","no",,"Happy to report in the 'pinch punch' stakes w/ the family, I drew w/ Miss 16, got done in by Master 9 &amp; got Miss 13. All in all I'll take that. In relation to the wife, she's lodged a dispute claiming she got me first. But it has been dismissed &amp; I declared myself the winner!"
"94760514","1478322361023614976","2022-01-04T11:08:11.000Z","1478322361023614976","yes","against","My sole reason for attending AO this year is to boo and heckle Novak Djokovic. Cant wait! Should make for a fun few hours https://t.co/rKA4Fp2gUB"
